scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-42-15,mustard_bottle,42,z2,1105,1.4860566899659418,0.17320189,1.4860566899659418,0.17320188879966736,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-42-15_color_kinect.png
2-79-3,bleach_cleanser,8,z2,1428,1.48447616071464,0.28673953,1.48447616071464,0.2867395281791687,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-79-3_color_kinect.png
2-69-10,tuna_fish_can,57,zinf|x2,128,4.431297539466157,0.16997516,1.4835601770294014,0.15729803189924865,2.9477373624367553,0.012677129653180547,0.4251207729468599,0.16105891297498842,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-69-10_color_kinect.png
1-90-2,wood_block,58,z2|y2|x4,560,0.761646043226737,0.097278915,1.4786200224993287,0.12508197791390838,-0.7169739792725917,-0.027803062568239584,0.3492569002123142,0.17168551705001897,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-90-2_color_kinect.png
2-6-14,tuna_fish_can,57,zinf|x2,87,4.287225170963925,0.4323436,1.4780512590035177,0.5320386071416858,2.809173911960407,-0.09969500496120487,0.27053140096618356,0.13502154607886926,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-14_color_kinect.png
1-21-8,pudding_box,51,z2|x2,222,1.8989890015380704,0.14327501,1.47740793300228,0.11827785593045148,0.42158106853579036,0.024997151675101192,0.38997214484679665,0.1700734544559044,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-21-8_color_kinect.png
1-22-7,sugar_box,55,z2|x2,343,10.43693281816555,0.07479386,1.476581999634433,0.13999025643971566,8.960350818531117,-0.06519639612343911,0.3761467889908257,0.16769154501882533,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-22-7_color_kinect.png
1-61-4,wood_block,58,z2|y2|x4,527,1.331180530352056,0.13698314,1.475640312808183,0.10735066706170329,-0.1444597824561269,0.029632474241359147,0.3524416135881104,0.1711118478799186,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-61-4_color_kinect.png
2-70-3,wood_block,58,z2|y2|x4,555,0.8892850011429007,0.11612518,1.4743094955452507,0.11779931507100003,-0.58502449440235,-0.0016741337536706202,0.35774946921443734,0.1731679771319679,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-70-3_color_kinect.png
2-51-3,tomato_soup_can,56,zinf|x2,720,1.4719865693034895,0.27598947,1.4719865693034895,0.27598947286605835,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-51-3_color_kinect.png
