method,instances,mean_rotation_deg,median_rotation_deg,mean_translation_cm,median_translation_cm,success_5deg_1cm_pct
PointNet,1705,3.368953877347636,2.044926555087879,0.23136575520038605,0.18313603103160858,92.72727272727272
PointNet + guarded ICP,1705,2.5827325253683817,1.0965062347076242,0.18389355182631784,0.13479273119154064,95.30791788856305
RGB-point fusion,1705,3.3048490116677907,1.2467486417866145,0.24455949664115906,0.1799636036157608,90.79178885630499
RGB-point fusion + guarded ICP,1705,3.1700147847011,0.9803670435465971,0.21600587568252602,0.14573928713798523,91.78885630498533
